Frequency (GHz),Beta_TE_1,Alpha_TE_1,Beta_TM_1,Alpha_TM_1,Beta_TE_2,Alpha_TE_2,Beta_TM_2,Alpha_TM_2,Beta_TE_3,Alpha_TE_3,Beta_TM_3,Alpha_TM_3,Beta_TE_4,Alpha_TE_4,Beta_TM_4,Alpha_TM_4,Beta_TE_5,Alpha_TE_5,Beta_TM_5,Alpha_TM_5,Beta_TE_6,Alpha_TE_6,Beta_TM_6,Alpha_TM_6
33.63636363636364,2.930217328305968,0.0,1.1578671377565282,0.0,1.0000000000000444,0.0,0.8408756819930283,0.0,1.0000000000000133,0.0,0.0,0.0,1.0000000000000044,0.0,0.0,0.0,0.9999999999999947,0.0,0.0,0.0,0.9999999999999858,0.0,0.0,0.0
34.54545454545455,2.940501193707569,0.0,1.2006106547924582,0.0,1.0000000000000728,0.0,0.8688731013939232,0.0,1.0000000000000133,0.0,0.0,0.0,1.0000000000000133,0.0,0.0,0.0,0.9999999999999893,0.0,0.0,0.0,0.7882047767951674,0.0,0.0,0.0
35.45454545454546,2.9501958493580576,0.0,1.2543603619866515,0.0,1.0000000000000622,0.0,0.8919642704438459,0.0,1.000000000000023,0.0,0.0,0.0,1.0000000000000195,0.0,0.0,0.0,1.000000000000016,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0
36.36363636363637,2.9593452055737144,0.0,1.3183992499221415,0.0,1.0000000000000533,0.0,0.9104472343049229,0.0,1.0000000000000213,0.0,0.0,0.0,0.8481592088929789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37.27272727272727,2.967989196134254,0.0,1.3903816483494984,0.0,1.0000000000000684,0.0,0.9250040895484293,0.0,1.0000000000000213,0.0,0.0,0.0,1.000000000000016,0.0,0.0,0.0,1.0000000000000044,0.0,0.0,0.0,1.0000000000000009,0.0,0.0,0.0
38.18181818181819,2.9761641967214616,0.0,1.4670812479273978,0.0,1.0000000000000213,0.0,0.9364454717842398,0.0,1.0000000000000107,0.0,0.27056315322531227,0.0,1.0000000000000062,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.9200385184727022,0.0,0.0,0.0
39.09090909090909,2.9839033938689106,0.0,1.5453399788589393,0.0,1.000000000000023,0.0,0.9455110343625935,0.0,0.9999999999999964,0.0,0.41566600699994993,0.0,0.9999999999999476,0.0,0.0,0.0,0.9647007394542866,0.0,0.0,0.0,0.44422931763174967,0.0,0.0,0.0
40.0,2.9912371108141165,0.0,1.6226799174911135,0.0,1.0167718085640662,0.0,0.9527925709595247,0.0,1.0000000000000213,0.0,0.5049681200624397,0.0,1.0000000000000187,0.0,0.0,0.0,1.0000000000000053,0.0,0.0,0.0,0.9999999999999947,0.0,0.0,0.0
40.909090909090914,2.998193095780274,0.0,1.6974559409029426,0.0,1.075822400848181,0.0,0.9587346869297967,0.0,1.0000000000000622,0.0,0.5686510510522677,0.0,1.0000000000000195,0.0,0.0,0.0,1.0000000000000107,0.0,0.0,0.0,0.9999999999999902,0.0,0.0,0.0
41.81818181818183,3.004796777449472,0.0,1.7687297195266676,0.0,1.1399998186099791,0.0,0.9636630610947072,0.0,1.0000000000000373,0.0,0.6171709997262166,0.0,1.0000000000000133,0.0,0.0,0.0,1.0000000000000133,0.0,0.0,0.0,1.000000000000008,0.0,0.0,0.0
42.727272727272734,3.0110714917408847,0.0,1.836064417235612,0.0,1.2068972788609897,0.0,0.9678151245454527,0.0,1.0000000000000435,0.0,0.6557280742597369,0.0,1.0000000000000107,0.0,0.0,0.0,1.000000000000008,0.0,0.0,0.0,1.0000000000000018,0.0,0.0,0.0
43.63636363636363,3.0170386834547505,0.0,1.8993428971563888,0.0,1.274408248121249,0.0,0.9713650525998395,0.0,1.0000000000000826,0.0,0.6873256199291101,0.0,1.0000000000000293,0.0,0.0,0.0,1.0000000000000284,0.0,0.0,0.0,1.000000000000023,0.0,0.0,0.0
44.54545454545455,3.022718085862824,0.0,1.9586366486603437,0.0,1.3410471837354356,0.0,0.9744421535882638,0.0,1.0000000000000764,0.0,0.7138484356999546,0.0,1.0000000000000249,0.0,0.0,0.0,1.0000000000000178,0.0,0.0,0.0,1.0000000000000178,0.0,0.0,0.0
45.45454545454546,3.028127880917962,0.0,2.014120259789248,0.0,1.405894805018347,0.0,0.9771438682280449,0.0,1.0000000000000666,0.0,0.7365464780144717,0.0,1.0000000000000435,0.0,0.0,0.0,1.0000000000000178,0.0,0.0,0.0,1.0000000000000062,0.0,0.0,0.0
46.363636363636374,3.0332848424044663,0.0,2.066018664561543,0.0,1.468436875705636,0.0,0.9795448447071669,0.0,1.0000000000000897,0.0,0.7562836947460415,0.0,1.0000000000000666,0.0,0.0,0.0,1.0000000000000187,0.0,0.0,0.0,1.0000000000000178,0.0,0.0,0.0
47.27272727272727,3.0382044640468457,0.0,2.114575823029962,0.0,1.528420914561316,0.0,0.9817032832441275,0.0,1.0000000000000622,0.0,0.7736775294850858,0.0,1.0000000000000488,0.0,0.0,0.0,1.0000000000000195,0.0,0.0,0.0,0.8090986802610592,0.0,0.0,0.0
48.18181818181819,3.042901074335686,0.0,2.1600367621769156,0.0,1.5857559814019215,0.0,0.9836654132412352,0.0,1.0000000000000675,0.0,0.7891819179207225,0.0,1.0000000000000515,0.0,0.0,0.0,1.000000000000023,0.0,0.0,0.0,0.8207451168588115,0.0,0.0,0.0
49.0909090909091,3.0473879396049233,0.0,2.202637729028358,0.0,1.6404482862634135,0.0,0.9854686991472948,0.0,1.0000000000000142,0.0,0.8031389181953197,0.0,1.0000000000000062,0.0,0.0,0.0,0.8309982205942994,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50.0,3.0516773566997895,0.0,2.2426011848406056,0.0,1.6925610372471451,0.0,0.9871441807319914,0.0,1.0000000000000497,0.0,0.815811998891451,0.0,1.0000000000000187,0.0,0.0,0.0,0.9999999999999911,0.0,0.0,0.0,0.8401330559264462,0.0,0.0,0.0
